Style,Variant Code,total_quantity,reorder_threshold,reorder_quantity,reorder_value,tier
JOSEPHINE,710.S.,21.0,500,479.0,286921.0,best_sellers
LENAH,990.S.,20.0,500,480.0,286560.0,best_sellers
SEAN,990.M.,22.0,500,478.0,285366.0,best_sellers
SEAN,990.L.,22.0,500,478.0,285366.0,best_sellers
SEAN,990.XL.,22.0,500,478.0,285366.0,best_sellers
MONACO REVERSIBLE JACKET,116.XS.,15.0,500,485.0,279845.0,best_sellers
MONACO BLAZER,990.2XS.,16.0,500,484.0,279268.0,best_sellers
MONACO REVERSIBLE JACKET,990.2XS.,16.0,500,484.0,279268.0,best_sellers
MONACO REVERSIBLE JACKET,990.L.,16.0,500,484.0,279268.0,best_sellers
MONACO REVERSIBLE JACKET,990.XS.,18.0,500,482.0,278114.0,best_sellers
MONACO BLAZER,990.XS.,19.0,500,481.0,277537.0,best_sellers
MONACO BLAZER,990.L.,20.0,500,480.0,276960.0,best_sellers
MONACO REVERSIBLE JACKET,990.M.,21.0,500,479.0,276383.0,best_sellers
MONACO BLAZER,990.S.,21.0,500,479.0,276383.0,best_sellers
MONACO BLAZER,990.M.,21.0,500,479.0,276383.0,best_sellers
MONACO REVERSIBLE JACKET,990.S.,22.0,500,478.0,275806.0,best_sellers
SIMONE,990.XS.,18.0,500,482.0,273294.0,best_sellers
SIMONE,990.L.,19.0,500,481.0,272727.0,best_sellers
SIMONE,990.S.,21.0,500,479.0,271593.0,best_sellers
SIMONE,990.M.,22.0,500,478.0,271026.0,best_sellers
JAXON,990.2XL,13.0,500,487.0,266389.0,best_sellers
MANDY,990.S,13.0,500,487.0,266389.0,best_sellers
HAYDEN,931.XS,13.0,500,487.0,266389.0,best_sellers
CAMDEN 2,990.S,13.0,500,487.0,266389.0,best_sellers
HAYDEN,931.L,13.0,500,487.0,266389.0,best_sellers
MONIKA,116.S.,14.0,500,486.0,265842.0,best_sellers
CAMDEN 2,851.XL,14.0,500,486.0,265842.0,best_sellers
CAMDEN 2,330.2XL.,14.0,500,486.0,265842.0,best_sellers
MANDY,990.XS,15.0,500,485.0,265295.0,best_sellers
JAXON,990.S,15.0,500,485.0,265295.0,best_sellers
MANDY,549.S,16.0,500,484.0,264748.0,best_sellers
JAXON,733.S,16.0,500,484.0,264748.0,best_sellers
HAYDEN,931.S,16.0,500,484.0,264748.0,best_sellers
CAMDEN 2,330.S.,17.0,500,483.0,264201.0,best_sellers
AMORA,710.L.,17.0,500,483.0,264201.0,best_sellers
AMORA,710.2XS.,17.0,500,483.0,264201.0,best_sellers
AMORA,545.XS.,17.0,500,483.0,264201.0,best_sellers
AMORA,710.XS.,17.0,500,483.0,264201.0,best_sellers
MANDY,549.L,17.0,500,483.0,264201.0,best_sellers
AMORA,545.L.,18.0,500,482.0,263654.0,best_sellers
AMORA,545.2XS.,18.0,500,482.0,263654.0,best_sellers
HAYDEN,990.2XL,18.0,500,482.0,263654.0,best_sellers
CAMDEN 2,990.2XL,18.0,500,482.0,263654.0,best_sellers
CAMDEN 2,990.L,19.0,500,481.0,263107.0,best_sellers
MANDY,549.XS,19.0,500,481.0,263107.0,best_sellers
CAMDEN 2,330.XL.,19.0,500,481.0,263107.0,best_sellers
CAMDEN 2,330.M.,20.0,500,480.0,262560.0,best_sellers
AMORA,545.M.,20.0,500,480.0,262560.0,best_sellers
AMORA,710.M.,20.0,500,480.0,262560.0,best_sellers
AMORA,710.S.,21.0,500,479.0,262013.0,best_sellers
JAXON,733.L,21.0,500,479.0,262013.0,best_sellers
MANDY,549.M,21.0,500,479.0,262013.0,best_sellers
CAMDEN 2,330.L.,21.0,500,479.0,262013.0,best_sellers
CAMDEN 2,990.XL,21.0,500,479.0,262013.0,best_sellers
AMORA,545.S.,21.0,500,479.0,262013.0,best_sellers
CORBAN,730.2XL.,13.0,500,487.0,261519.0,best_sellers
JAXON,990.XL,22.0,500,478.0,261466.0,best_sellers
JAXON,733.XL,22.0,500,478.0,261466.0,best_sellers
HAYDEN,931.XL,22.0,500,478.0,261466.0,best_sellers
JAXON,733.M,24.0,500,476.0,260372.0,best_sellers
HAYDEN,990.XL,24.0,500,476.0,260372.0,best_sellers
JAXON,990.M,24.0,500,476.0,260372.0,best_sellers
CORBAN,460.XL,16.0,500,484.0,259908.0,best_sellers
JAXON,990.L,25.0,500,475.0,259825.0,best_sellers
HAYDEN,990.L,26.0,500,474.0,259278.0,best_sellers
CORBAN,730.XL.,18.0,500,482.0,258834.0,best_sellers
CORBAN,730.S.,18.0,500,482.0,258834.0,best_sellers
HAYDEN,990.M,27.0,500,473.0,258731.0,best_sellers
BORYS,730.S,1.0,200,199.0,258698.01,making_progress
GEDDY,990.M,1.0,200,199.0,258698.01,making_progress
HAYDEN,990.S,28.0,500,472.0,258184.0,best_sellers
CHICAGO,990.2XL.,13.0,500,487.0,257623.0,best_sellers
CORBAN,730.L.,21.0,500,479.0,257223.0,best_sellers
CORBAN,730.M.,21.0,500,479.0,257223.0,best_sellers
CORBAN,620S,21.0,500,479.0,257223.0,best_sellers
CORBAN,990.2XL,22.0,500,478.0,256686.0,best_sellers
CORBAN,620XL,23.0,500,477.0,256149.0,best_sellers
CORBAN,620L,23.0,500,477.0,256149.0,best_sellers
CORBAN,990.S,23.0,500,477.0,256149.0,best_sellers
MONACO BIKER,410.L.,15.0,500,485.0,255595.0,best_sellers
MONACO BIKER,990.2XS.,15.0,500,485.0,255595.0,best_sellers
MONACO BIKER,990.L.,15.0,500,485.0,255595.0,best_sellers
MONACO BIKER,410.2XS.,15.0,500,485.0,255595.0,best_sellers
CHICAGO,990.XL.,17.0,500,483.0,255507.0,best_sellers
CHICAGO,990.S.,17.0,500,483.0,255507.0,best_sellers
CORBAN,6202XL,25.0,500,475.0,255075.0,best_sellers
CHICAGO,990.M.,18.0,500,482.0,254978.0,best_sellers
CHICAGO,990.L.,18.0,500,482.0,254978.0,best_sellers
CORBAN,620M,26.0,500,474.0,254538.0,best_sellers
MONACO BIKER,410.M.,18.0,500,482.0,254014.0,best_sellers
MONACO BIKER,990.XS.,18.0,500,482.0,254014.0,best_sellers
MONACO BIKER,410.XS.,19.0,500,481.0,253487.0,best_sellers
MONACO BIKER,990.M.,19.0,500,481.0,253487.0,best_sellers
CORBAN,990.M,28.0,500,472.0,253464.0,best_sellers
MONACO BIKER,990.S.,20.0,500,480.0,252960.0,best_sellers
MONACO BIKER,410.S.,22.0,500,478.0,251906.0,best_sellers
CORBAN,990.XL,31.0,500,469.0,251853.0,best_sellers
CORBAN,990.L,35.0,500,465.0,249705.0,best_sellers
MILES,730.M,14.0,500,486.0,242514.0,best_sellers
MILES,990.L,14.0,500,486.0,242514.0,best_sellers
MAXTON,730.L,14.0,500,486.0,242514.0,best_sellers
MILES,990.M,15.0,500,485.0,242015.0,best_sellers
CHARLOTTE,990.XS,16.0,500,484.0,241516.0,best_sellers
SCOTTIE,990.S.,16.0,500,484.0,241516.0,best_sellers
DESTAN,460.L.,15.0,500,485.0,241045.0,best_sellers
MADALYN,545.06.,15.0,500,485.0,241045.0,best_sellers
MADALYN,710.12.,15.0,500,485.0,241045.0,best_sellers
MADALYN,545.12.,15.0,500,485.0,241045.0,best_sellers
CHARLOTTE,990.S,17.0,500,483.0,241017.0,best_sellers
CHARLOTTE,990.L,17.0,500,483.0,241017.0,best_sellers
DESTAN,990.2XL,16.0,500,484.0,240548.0,best_sellers
BERNARD,723.L.,16.0,500,484.0,240548.0,best_sellers
MADALYN,710.06.,17.0,500,483.0,240051.0,best_sellers
MADALYN,710.08.,17.0,500,483.0,240051.0,best_sellers
VALE,977.2XS.,18.0,500,482.0,239554.0,best_sellers
MADALYN,710.04.,18.0,500,482.0,239554.0,best_sellers
VALE,977.L.,18.0,500,482.0,239554.0,best_sellers
DESTAN,990.XL,18.0,500,482.0,239554.0,best_sellers
MADALYN,545.04.,18.0,500,482.0,239554.0,best_sellers
CHARLOTTE,990.M,20.0,500,480.0,239520.0,best_sellers
SCOTTIE,990.XL.,20.0,500,480.0,239520.0,best_sellers
MADALYN,545.10.,19.0,500,481.0,239057.0,best_sellers
MADALYN,545.08.,19.0,500,481.0,239057.0,best_sellers
SCOTTIE,990.M.,21.0,500,479.0,239021.0,best_sellers
SCOTTIE,990.L.,21.0,500,479.0,239021.0,best_sellers
MADALYN,710.10.,20.0,500,480.0,238560.0,best_sellers
VALE,977.M.,20.0,500,480.0,238560.0,best_sellers
VALE,977.S.,21.0,500,479.0,238063.0,best_sellers
VALE,977.XS.,22.0,500,478.0,237566.0,best_sellers
BRAD,977.M.,15.0,500,485.0,227465.0,best_sellers
AZARIA,116.S.,15.0,500,485.0,217765.0,best_sellers
AZARIA,116.XS.,15.0,500,485.0,217765.0,best_sellers
ASHER,990.2XL,15.0,500,485.0,217765.0,best_sellers
MARTIN,330.S.,15.0,500,485.0,217765.0,best_sellers
LUKA,977.XL.,16.0,500,484.0,217316.0,best_sellers
LUKA,977.M.,17.0,500,483.0,216867.0,best_sellers
CARTER,733XL,17.0,500,483.0,216867.0,best_sellers
CARTER,733L,17.0,500,483.0,216867.0,best_sellers
TILLY,710.2XS.,15.0,500,485.0,216795.0,best_sellers
MADDIE,990.2XS.,15.0,500,485.0,216795.0,best_sellers
LUKA,977.S.,18.0,500,482.0,216418.0,best_sellers
CARTER,733M,19.0,500,481.0,215969.0,best_sellers
RONAN,620.XL,19.0,500,481.0,215969.0,best_sellers
DARIA,990.L,17.0,500,483.0,215901.0,best_sellers
TILLY,710.L.,17.0,500,483.0,215901.0,best_sellers
ASHER,990.M,20.0,500,480.0,215520.0,best_sellers
CARTER,990.S,20.0,500,480.0,215520.0,best_sellers
MADDIE,990.XS.,18.0,500,482.0,215454.0,best_sellers
LUKA,977.L.,21.0,500,479.0,215071.0,best_sellers
MADDIE,990.S.,19.0,500,481.0,215007.0,best_sellers
TILLY,710.S.,19.0,500,481.0,215007.0,best_sellers
TILLY,710.XS.,19.0,500,481.0,215007.0,best_sellers
TILLY,710.M.,19.0,500,481.0,215007.0,best_sellers
CARTER,733S,22.0,500,478.0,214622.0,best_sellers
DARIA,990.XS,20.0,500,480.0,214560.0,best_sellers
ASHER,990.S,23.0,500,477.0,214173.0,best_sellers
MADDIE,990.M.,22.0,500,478.0,213666.0,best_sellers
ASHER,990.L,25.0,500,475.0,213275.0,best_sellers
ALEKSIA,990.2XS.,4.0,300,296.0,206904.0,doing_good
MAGALIE,555.XS.,16.0,500,484.0,206668.0,best_sellers
MAGALIE,312.XS,16.0,500,484.0,206668.0,best_sellers
MAGALIE,815.XS.,18.0,500,482.0,205814.0,best_sellers
GLEN,990.XL,6.0,300,294.0,205506.0,doing_good
MAGALIE,815.XL.,19.0,500,481.0,205387.0,best_sellers
MAGALIE,815.L.,20.0,500,480.0,204960.0,best_sellers
MAGALIE,815.M.,21.0,500,479.0,204533.0,best_sellers
BOSTON REVERSIBLE,919.XS.,7.0,300,293.0,204221.0,doing_good
GLEN,990.M,8.0,300,292.0,204108.0,doing_good
GLEN,990.L,8.0,300,292.0,204108.0,doing_good
MAGALIE,815.S.,22.0,500,478.0,204106.0,best_sellers
GLEN,990.2XL,9.0,300,291.0,203409.0,doing_good
GLORYA,990.S,0.0,100,100.0,199900.0,okay
GLORYA,990.XS,0.0,100,100.0,199900.0,okay
DONNA,990.L,0.0,100,100.0,199900.0,okay
BOSTON REVERSIBLE HOODIE,911.XS.,8.0,300,292.0,197684.0,doing_good
BOSTON REVERSIBLE HOODIE,731.XS.,9.0,300,291.0,197007.0,doing_good
BETTY,116.XS.,17.0,500,483.0,192717.0,best_sellers
BETTY,990.XS.,18.0,500,482.0,192318.0,best_sellers
BETTY,990.S.,18.0,500,482.0,192318.0,best_sellers
SANDER,990.S,20.0,500,480.0,191995.2,best_sellers
SANDER,990.M,20.0,500,480.0,191995.2,best_sellers
BETTY,990.M.,19.0,500,481.0,191919.0,best_sellers
BETTY,116.M.,19.0,500,481.0,191919.0,best_sellers
JULIETTE,815.XS,17.0,500,483.0,191751.0,best_sellers
BETTY,116.L.,20.0,500,480.0,191520.0,best_sellers
BETTY,116.S.,20.0,500,480.0,191520.0,best_sellers
JULIETTE,633.2XS,18.0,500,482.0,191354.0,best_sellers
JULIETTE,580.XS,19.0,500,481.0,190957.0,best_sellers
JULIETTE,633.XS,19.0,500,481.0,190957.0,best_sellers
JULIETTE,633.S,20.0,500,480.0,190560.0,best_sellers
JULIETTE,580.S,21.0,500,479.0,190163.0,best_sellers
JULIETTE,990.S,23.0,500,477.0,189369.0,best_sellers
JULIETTE,990.2XS,24.0,500,476.0,188972.0,best_sellers
TONI,940.XS.,8.0,300,292.0,188924.0,doing_good
JULIETTE,990.XS,25.0,500,475.0,188575.0,best_sellers
NOVA,116.XS.,18.0,500,482.0,182678.0,best_sellers
NOVA,116.M.,18.0,500,482.0,182678.0,best_sellers
NOVA,990.XS.,18.0,500,482.0,182678.0,best_sellers
NOVA,116.L.,20.0,500,480.0,181920.0,best_sellers
KIMAYA,116.XS.,18.0,500,482.0,181714.0,best_sellers
KIMAYA,401.XS.,18.0,500,482.0,181714.0,best_sellers
NOVA,990.S.,21.0,500,479.0,181541.0,best_sellers
KIMAYA,116.L.,19.0,500,481.0,181337.0,best_sellers
KIMAYA,401.S.,19.0,500,481.0,181337.0,best_sellers
NOVA,990.M.,22.0,500,478.0,181162.0,best_sellers
KIMAYA,116.M.,20.0,500,480.0,180960.0,best_sellers
ELIZA,990.2XS,20.0,500,480.0,180960.0,best_sellers
KIMAYA,116.S.,21.0,500,479.0,180583.0,best_sellers
ELIZA,580.S,22.0,500,478.0,180206.0,best_sellers
NOAH,990.M,4.0,300,296.0,177597.04,doing_good
SALLY,990.L.,4.0,300,296.0,177304.0,doing_good
NOAH,990.2XL,5.0,300,295.0,176997.05,doing_good
NOAH,990.S,5.0,300,295.0,176997.05,doing_good
NOAH,990.XL,5.0,300,295.0,176997.05,doing_good
SALLY,990.2XS.,5.0,300,295.0,176705.0,doing_good
SALLY,990.S.,5.0,300,295.0,176705.0,doing_good
SALLY,990.M.,5.0,300,295.0,176705.0,doing_good
NOAH,990.L,6.0,300,294.0,176397.06,doing_good
SALLY,990.XS.,6.0,300,294.0,176106.0,doing_good
SEAN,931.XS.,6.0,300,294.0,175518.0,doing_good
JOSEPHINE,710.3XS.,7.0,300,293.0,175507.0,doing_good
LENAH,990.3XS.,7.0,300,293.0,174921.0,doing_good
SEAN,990.XS.,7.0,300,293.0,174921.0,doing_good
LENAH,990.2XL.,8.0,300,292.0,174324.0,doing_good
SEAN,990.3XL.,9.0,300,291.0,173727.0,doing_good
LENAH,990.XL.,11.0,300,289.0,172533.0,doing_good
MONACO BLAZER,990.XL.,4.0,300,296.0,170792.0,doing_good
MONACO REVERSIBLE JACKET,990.XL.,5.0,300,295.0,170215.0,doing_good
MONACO REVERSIBLE JACKET,116.S.,6.0,300,294.0,169638.0,doing_good
MONACO REVERSIBLE JACKET,990.3XS.,6.0,300,294.0,169638.0,doing_good
MONACO BLAZER,990.3XS.,7.0,300,293.0,169061.0,doing_good
MONACO REVERSIBLE JACKET,116.3XS.,7.0,300,293.0,169061.0,doing_good
ELIAM LAPTOP BAG,990.NS.,19.0,500,481.0,167869.0,best_sellers
ELIAM BACKPACK,990.NS.,19.0,500,481.0,167869.0,best_sellers
ELIAM BACKPACK,870.NS.,19.0,500,481.0,167869.0,best_sellers
SIMONE,990.2XL.,4.0,300,296.0,167832.0,doing_good
MONACO REVERSIBLE JACKET,116.L.,10.0,300,290.0,167330.0,doing_good
SIMONE,990.3XS.,5.0,300,295.0,167265.0,doing_good
MONACO REVERSIBLE JACKET,116.M.,11.0,300,289.0,166753.0,doing_good
MONACO REVERSIBLE JACKET,116.2XS.,11.0,300,289.0,166753.0,doing_good
ATTICUS TOTE,715.NS.,26.0,500,474.0,165426.0,best_sellers
SIMONE,990.2XS.,9.0,300,291.0,164997.0,doing_good
ATTICUS BACKPACK,715.NS.,28.0,500,472.0,164728.0,best_sellers
SIMONE,990.XL.,10.0,300,290.0,164430.0,doing_good
CAMDEN 2,851.S,4.0,300,296.0,161912.0,doing_good
HAYDEN,895XS,4.0,300,296.0,161912.0,doing_good
MONIKA,116.3XS.,4.0,300,296.0,161912.0,doing_good
CAMDEN 2,851.3XL,4.0,300,296.0,161912.0,doing_good
MONIKA,116.2XS.,4.0,300,296.0,161912.0,doing_good
AMORA,710.XL.,5.0,300,295.0,161365.0,doing_good
AMORA,545.XL.,5.0,300,295.0,161365.0,doing_good
JAXON,990.3XL,5.0,300,295.0,161365.0,doing_good
CAMDEN 2,990.3XL,5.0,300,295.0,161365.0,doing_good
MANDY,116.S,5.0,300,295.0,161365.0,doing_good
CAMDEN 2,851.L,5.0,300,295.0,161365.0,doing_good
MANDY,116.M,5.0,300,295.0,161365.0,doing_good
MANDY,116.L,6.0,300,294.0,160818.0,doing_good
AMORA,710.3XS.,6.0,300,294.0,160818.0,doing_good
CAMDEN 2,990.XS,6.0,300,294.0,160818.0,doing_good
CAMDEN 2,851.XS,6.0,300,294.0,160818.0,doing_good
MONIKA,116.XS.,7.0,300,293.0,160271.0,doing_good
MANDY,990.3XS,7.0,300,293.0,160271.0,doing_good
CAMDEN 2,330.XS.,7.0,300,293.0,160271.0,doing_good
MANDY,116.XS,7.0,300,293.0,160271.0,doing_good
HAYDEN,8952XL,7.0,300,293.0,160271.0,doing_good
CAMDEN 2,851.M,8.0,300,292.0,159724.0,doing_good
AMORA,545.3XS.,9.0,300,291.0,159177.0,doing_good
MONIKA,116.L.,9.0,300,291.0,159177.0,doing_good
HAYDEN,990.3XL,9.0,300,291.0,159177.0,doing_good
HAYDEN,990.XS,9.0,300,291.0,159177.0,doing_good
JAXON,733.3XL,9.0,300,291.0,159177.0,doing_good
MANDY,990.L,9.0,300,291.0,159177.0,doing_good
CAMDEN 2,990.M,9.0,300,291.0,159177.0,doing_good
ATTICUS BACKPACK,890.NS.,45.0,500,455.0,158795.0,best_sellers
JAXON,733.XS,10.0,300,290.0,158630.0,doing_good
MANDY,116.2XS,10.0,300,290.0,158630.0,doing_good
HAYDEN,931.M,10.0,300,290.0,158630.0,doing_good
MANDY,549.XL,10.0,300,290.0,158630.0,doing_good
HAYDEN,931.2XL,10.0,300,290.0,158630.0,doing_good
CAMDEN 2,851.2XL,10.0,300,290.0,158630.0,doing_good
MANDY,990.2XS,10.0,300,290.0,158630.0,doing_good
ATTICUS LAPTOP BAG,715.NS.,46.0,500,454.0,158446.0,best_sellers
ATTICUS TOTE,890.NS.,47.0,500,453.0,158097.0,best_sellers
JAXON,733.2XL,11.0,300,289.0,158083.0,doing_good
CORBAN,990.3XL,6.0,300,294.0,157878.0,doing_good
CORBAN,460.S,6.0,300,294.0,157878.0,doing_good
MONIKA,116.M.,12.0,300,288.0,157536.0,doing_good
JAXON,990.XS,12.0,300,288.0,157536.0,doing_good
MANDY,990.M,12.0,300,288.0,157536.0,doing_good
MANDY,549.2XS,12.0,300,288.0,157536.0,doing_good
CORBAN,620XS,8.0,300,292.0,156804.0,doing_good
CORBAN,730.XS.,8.0,300,292.0,156804.0,doing_good
CORBAN,460.XS,9.0,300,291.0,156267.0,doing_good
CORBAN,460.L,10.0,300,290.0,155730.0,doing_good
CORBAN,460.2XL,10.0,300,290.0,155730.0,doing_good
CORBAN,990.XS,10.0,300,290.0,155730.0,doing_good
MONACO BIKER,410.XL.,5.0,300,295.0,155465.0,doing_good
CORBAN,460.M,11.0,300,289.0,155193.0,doing_good
CHICAGO,990.XS.,8.0,300,292.0,154468.0,doing_good
MONACO BIKER,410.3XS.,7.0,300,293.0,154411.0,doing_good
MONACO BIKER,990.3XS.,9.0,300,291.0,153357.0,doing_good
ATTICUS BACKPACK,990.NS.,62.0,500,438.0,152862.0,best_sellers
ATTICUS LAPTOP BAG,890.NS.,63.0,500,437.0,152513.0,best_sellers
ATTICUS LAPTOP BAG,990.NS.,66.0,500,434.0,151466.0,best_sellers
ATTICUS TOTE,990.NS.,67.0,500,433.0,151117.0,best_sellers
HINISHA,116.2XS,0.0,100,100.0,149999.0,okay
HINISHA,116.M,0.0,100,100.0,149999.0,okay
MAXTON,411.S,5.0,300,295.0,147205.0,doing_good
GRACIE,990.L.,5.0,300,295.0,147205.0,doing_good
CHARLOTTE,990.3XS,5.0,300,295.0,147205.0,doing_good
GRACIE,990.XS.,5.0,300,295.0,147205.0,doing_good
BERNARD,990.2XL,5.0,300,295.0,146615.0,doing_good
BERNARD,990.XL,5.0,300,295.0,146615.0,doing_good
MADALYN,545.00.,5.0,300,295.0,146615.0,doing_good
MAXTON,411.M,7.0,300,293.0,146207.0,doing_good
FRANK,990.XL,7.0,300,293.0,146207.0,doing_good
MAXTON,411.XL,7.0,300,293.0,146207.0,doing_good
FRANK,990.M,7.0,300,293.0,146207.0,doing_good
SCOTTIE,990.XS.,7.0,300,293.0,146207.0,doing_good
MADALYN,545.14.,6.0,300,294.0,146118.0,doing_good
WILDER,990.XL,6.0,300,294.0,146118.0,doing_good
DESTAN,990.S,6.0,300,294.0,146118.0,doing_good
MAXTON,411.L,8.0,300,292.0,145708.0,doing_good
MILES,730.XS,8.0,300,292.0,145708.0,doing_good
VALE,977.3XS.,7.0,300,293.0,145621.0,doing_good
DESTAN,460.2XL.,7.0,300,293.0,145621.0,doing_good
DESTAN,990.XS,7.0,300,293.0,145621.0,doing_good
FRANK,990.S,9.0,300,291.0,145209.0,doing_good
MILES,990.XS,9.0,300,291.0,145209.0,doing_good
MILES,730.XL,9.0,300,291.0,145209.0,doing_good
MAXTON,730.S,9.0,300,291.0,145209.0,doing_good
MILES,730.L,9.0,300,291.0,145209.0,doing_good
DESTAN,460.XL.,8.0,300,292.0,145124.0,doing_good
VALE,977.XL.,8.0,300,292.0,145124.0,doing_good
DESTAN,990.L,8.0,300,292.0,145124.0,doing_good
MAXTON,730.2XL,10.0,300,290.0,144710.0,doing_good
CHARLOTTE,990.2XS,10.0,300,290.0,144710.0,doing_good
CHARLOTTE,990.XL,10.0,300,290.0,144710.0,doing_good
MADALYN,545.02.,9.0,300,291.0,144627.0,doing_good
DESTAN,460.XS.,9.0,300,291.0,144627.0,doing_good
MADALYN,710.14.,9.0,300,291.0,144627.0,doing_good
MILES,990.S,11.0,300,289.0,144211.0,doing_good
MILES,730.S,11.0,300,289.0,144211.0,doing_good
MAXTON,730.XL,11.0,300,289.0,144211.0,doing_good
BERNARD,990.XS,10.0,300,290.0,144130.0,doing_good
MADALYN,710.02.,10.0,300,290.0,144130.0,doing_good
MAXTON,730.M,12.0,300,288.0,143712.0,doing_good
FRANK,990.L,12.0,300,288.0,143712.0,doing_good
SCOTTIE,990.2XL.,12.0,300,288.0,143712.0,doing_good
