Sum of Quantity,Style,Item No_,Season Code,Item Description,Variant Color,Variant Code,Item Barcode,Selling Price,Location Code,100.0,103.0,105.0,106.0,108.0,109.0,113.0,114.0,116.0,117.0,201.0,251.0,301.0,302.0,401.0,501.0,551.0,TRUCK,Grand Total
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,CAMEL,700.XL,0135729108666,299.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,0,4
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,CAMEL,700.2XL,0135729108672,299.99,0.0,0.0,0.0,1.0,0.0,,,0.0,,0.0,1.0,1.0,0.0,,,1.0,,,0,4
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,DARK TAUPE,820.3XS,0135729101983,299.99,0.0,4.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,,,,,0,4
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,RED,620.3XS,0135729108662,299.99,0.0,2.0,,0.0,,,,,,0.0,1.0,1.0,,,0.0,,,,0,4
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,RED,620.2XS,0135729108663,299.99,0.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,,,0,5
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,RED,620.M,0135729108660,299.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,RED,620.L,0135729108661,299.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,RED,620.2XL,0135729108664,299.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,,,,,0.0,0.0,0,1
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,TAUPE,810.3XS,0135729105835,299.99,0.0,4.0,,0.0,0.0,,,,,0.0,0.0,1.0,,,0.0,0.0,,,0,5
10-10-10,AERYN,100947,FA25,AERYN - BELTED COAT W/ ASYMMETRICAL ZIP FRONT ,TAUPE,810.2XL,0135729105837,299.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,,,0.0,,0,2
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,SAND,116.XS,0135729108334,149.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1,1
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,SAND,116.L,0135729108337,149.99,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0,3
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,SAND,116.XL,0135729108338,149.99,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,,0,4
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,SAND,116.2XL,0135729108339,149.99,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,,1.0,,,0,4
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,ELEMENTAL BLUE,414.3XS,0135729108340,149.99,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,,,0,3
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,ELEMENTAL BLUE,414.XS,0135729108342,149.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,0,3
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,ELEMENTAL BLUE,414.S,0135729108343,149.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0,2
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,ELEMENTAL BLUE,414.M,0135729108344,149.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,0,2
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,ELEMENTAL BLUE,414.L,0135729108345,149.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0,2
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,ELEMENTAL BLUE,414.XL,0135729108346,149.99,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,,0.0,,,0,3
10-10-10,AGGIE,102500,SP25,AGGIE - FABRIC WRAP COAT W/WAIST BELT,ELEMENTAL BLUE,414.2XL,0135729108347,149.99,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,,1.0,0.0,,,,1.0,,,0,3
10-10-10,ALEKSIA,102606,FA25,ALEKSIA - LEATHER/SHEARLING COAT W/ FUNNEL COLLAR,BLACK,990.2XS.,0135729109620,699,5.0,4.0,0.0,0.0,,,,,,0.0,0.0,,,,0.0,,,,0,9
10-10-10,ALEKSIA,102606,FA25,ALEKSIA - LEATHER/SHEARLING COAT W/ FUNNEL COLLAR,BLACK,990.XS.,0135729109621,699,5.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,0.0,0.0,,,0.0,0.0,,,0,7
10-10-10,ALEKSIA,102606,FA25,ALEKSIA - LEATHER/SHEARLING COAT W/ FUNNEL COLLAR,BLACK,990.S.,0135729109622,699,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0,11
10-10-10,ALEKSIA,102606,FA25,ALEKSIA - LEATHER/SHEARLING COAT W/ FUNNEL COLLAR,BLACK,990.M.,0135729109623,699,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0,8
10-10-10,ALEKSIA,102606,FA25,ALEKSIA - LEATHER/SHEARLING COAT W/ FUNNEL COLLAR,BLACK,990.L.,0135729109624,699,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,2,4
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,BLACK,990.3XS,0135729107186,99.99,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,0,1
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,BLACK,990.2XS,0135729107187,99.99,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,3
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,BLACK,990.XS,0135729107188,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,5,5
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,BLACK,990.S,0135729107189,99.99,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6,6
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,BLACK,990.M,0135729107190,99.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,8,9
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,BLACK,990.L,0135729107191,99.99,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,4
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,BLACK,990.XL,0135729107192,99.99,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,2,7
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,BLACK,990.2XL,0135729107193,99.99,1.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,,,0,1
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,TEAL,340.3XS,0135729107178,99.99,0.0,2.0,0.0,0.0,-1.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,2,3
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,TEAL,340.2XS,0135729107179,99.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1,2
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,TEAL,340.XS,0135729107180,99.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,1
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,TEAL,340.S,0135729107181,99.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10,10
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,TEAL,340.M,0135729107182,99.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,9,10
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,TEAL,340.L,0135729107183,99.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,4,5
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,TEAL,340.XL,0135729107184,99.99,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,,4,7
10-10-10,ALIE,102332,FA25,ALIE - LONG WOOL COAT W/QUILTED INTERIOR JACKET,TEAL,340.2XL,0135729107185,99.99,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,0.0,,0.0,,0,1
10-10-10,ALYSON,102141,SP24,"ALYSON - COAT W/BONDED LEATHER, BELT & FLY-FRONT  ",BLACK,990.XS,0135729105425,339.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,0.0,,0,1
10-10-10,ALYSON,102141,SP24,"ALYSON - COAT W/BONDED LEATHER, BELT & FLY-FRONT  ",BLACK,990.L,0135729105428,339.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,1.0,0.0,,0,1
10-10-10,ALYSON,102141,SP24,"ALYSON - COAT W/BONDED LEATHER, BELT & FLY-FRONT  ",LATTE,815.XS,0135729107629,339.99,0.0,4.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,1.0,,,0.0,0,5
10-10-10,ALYSON,102141,SP24,"ALYSON - COAT W/BONDED LEATHER, BELT & FLY-FRONT  ",LATTE,815.S,0135729107631,339.99,0.0,3.0,,0.0,,,0.0,0.0,,,3.0,,,0.0,1.0,,,0.0,0,7
10-10-10,ALYSON,102141,SP24,"ALYSON - COAT W/BONDED LEATHER, BELT & FLY-FRONT  ",LATTE,815.M,0135729107632,339.99,0.0,2.0,,0.0,1.0,,0.0,0.0,,,,,,,1.0,,,0.0,0,4
10-10-10,ALYSON,102141,SP24,"ALYSON - COAT W/BONDED LEATHER, BELT & FLY-FRONT  ",SAGE,312.XS,0135729107598,339.99,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,,0.0,0,2
10-10-10,ALYSON,102141,SP24,"ALYSON - COAT W/BONDED LEATHER, BELT & FLY-FRONT  ",SKY BLUE,410.S,0135729105419,339.99,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,,1,1
10-10-10,ANNIKA,102641,FA26,ANNIKA - WOOL COAT W/ HOOD,CHESTNUT,860.3XS.,0135729109864,299,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0,1
10-10-10,ANNIKA,102641,FA26,ANNIKA - WOOL COAT W/ HOOD,CHESTNUT,860.2XS.,0135729109865,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
10-10-10,ANNIKA,102641,FA26,ANNIKA - WOOL COAT W/ HOOD,CHESTNUT,860.XS.,0135729109866,299,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
10-10-10,ANNIKA,102641,FA26,ANNIKA - WOOL COAT W/ HOOD,CHESTNUT,860.S.,0135729109867,299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10-10-10,ANNIKA,102641,FA26,ANNIKA - WOOL COAT W/ HOOD,CHESTNUT,860.M.,0135729109868,299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
10-10-10,ANNIKA,102641,FA26,ANNIKA - WOOL COAT W/ HOOD,CHESTNUT,860.L.,0135729109869,299,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
10-10-10,AZARIA,102737,SP25,AZARIA - BONDED COAT W/ ZIP FRONT & BELT,SAND,116.3XS.,0135729110743,449,0.0,3.0,1.0,1.0,,,,,,1.0,1.0,,,,1.0,,,,0,8
10-10-10,AZARIA,102737,SP25,AZARIA - BONDED COAT W/ ZIP FRONT & BELT,SAND,116.2XS.,0135729110744,449,0.0,4.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,0,13
10-10-10,AZARIA,102737,SP25,AZARIA - BONDED COAT W/ ZIP FRONT & BELT,SAND,116.XS.,0135729110745,449,0.0,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0.0,1.0,1.0,,,0,15
10-10-10,AZARIA,102737,SP25,AZARIA - BONDED COAT W/ ZIP FRONT & BELT,SAND,116.S.,0135729110746,449,0.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,0,15
10-10-10,AZARIA,102737,SP25,AZARIA - BONDED COAT W/ ZIP FRONT & BELT,SAND,116.M.,0135729110747,449,0.0,5.0,1.0,1.0,,0.0,0.0,1.0,1.0,,1.0,1.0,0.0,0.0,,1.0,0.0,1.0,0,13
10-10-10,AZARIA,102737,SP25,AZARIA - BONDED COAT W/ ZIP FRONT & BELT,SAND,116.L.,0135729110748,449,0.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,-1.0,1.0,1.0,,1.0,1.0,1.0,1,13
10-10-10,AZARIA,102737,SP25,AZARIA - BONDED COAT W/ ZIP FRONT & BELT,SAND,116.XL.,0135729110749,449,0.0,0.0,,,,,,,,,,,1.0,,,,1.0,0.0,0,2
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",BLACK,990.2XS,0135729105850,229.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,2
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",BLACK,990.XS,0135729105845,229.99,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",BLACK,990.L,0135729105848,229.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,1
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",BLACK,990.XL,0135729106025,229.99,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,4
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",BLACK,990.2XL,0135729105851,229.99,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,0.0,,0,6
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",SAND,116.3XS,0135729105857,229.99,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,0,3
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",SAND,116.2XS,0135729105858,229.99,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0,3
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",SAND,116.XS,0135729105852,229.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,0,2
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",SAND,116.L,0135729105856,229.99,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,0.0,0.0,0.0,0.0,,0,7
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",SAND,116.XL,0135729105853,229.99,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,0.0,0.0,0.0,0.0,,0,7
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",SAND,116.2XL,0135729105859,229.99,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,,,,0.0,0.0,,0,9
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",DUSK,549.3XS.,0135729108848,229.99,1.0,0.0,,0.0,,,,0.0,,,1.0,1.0,,0.0,0.0,0.0,,,0,3
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",DUSK,549.2XS.,0135729108849,229.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,5
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",DUSK,549.XS.,0135729108843,229.99,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",DUSK,549.S.,0135729108845,229.99,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",DUSK,549.M.,0135729108846,229.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",DUSK,549.L.,0135729108847,229.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,6
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",DUSK,549.XL.,0135729108844,229.99,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,,,0.0,0.0,0.0,1,8
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",DUSK,549.2XL.,0135729108850,229.99,3.0,0.0,,1.0,1.0,,,0.0,0.0,,1.0,1.0,0.0,,,1.0,0.0,0.0,0,8
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",LIGHT GREY,920.3XS,0135729109992,229.99,1.0,2.0,,0.0,,,,,,0.0,1.0,,,0.0,0.0,0.0,,,0,4
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",LIGHT GREY,920.2XS,0135729109993,229.99,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0,3
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",LIGHT GREY,920.S,0135729109989,229.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
10-10-10,BRENNA,101760,KI00,"BRENNA - WOOL COAT W/STAND COLLAR, BTN & FRT BELT",LIGHT GREY,920.M,0135729109990,229.99,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2
