Item Product Group Code,Style,Item No_,Season Code,Item Description,Variant Color,Variant Code,Item Barcode,Selling Price,Location Code,100.0,103.0,105.0,106.0,108.0,109.0,113.0,114.0,116.0,117.0,201.0,251.0,301.0,302.0,401.0,501.0,551.0,TRUCK,Grand Total,total_quantity,total_value,tier,reorder_quantity,tier_description
45-97-94,MONACO,689959,FA24,MONACO - WOMEN'S LEATHER JACKETS IN OLIVE,OLIVE,730.XS,3711472104510,712.84,95,95.0,57.0,14.0,42.0,0.0,23.0,17.0,13.0,17.0,17.0,21.0,9.0,18.0,21.0,22.0,21.0,6.0,1,413,413,294402.92000000004,best_sellers,660,Top 10% performers - High demand items
99-12-84,ALEKSIA,687905,ALL SEASON,ALEKSIA - WOMEN'S LEATHER JACKETS IN MINK,MINK,730.L,9980259016081,775.23,1,1.0,76.0,49.0,46.0,27.0,18.0,6.0,12.0,17.0,17.0,19.0,3.0,8.0,18.0,25.0,25.0,12.0,4,379,379,293812.17,best_sellers,660,Top 10% performers - High demand items
62-66-76,ALYSON,682772,FA24,ALYSON - WOMEN'S LEATHER JACKETS IN RED,RED,730.XS,6743815982895,739.81,76,76.0,96.0,35.0,44.0,3.0,7.0,19.0,12.0,12.0,18.0,4.0,18.0,13.0,5.0,8.0,21.0,5.0,1,396,396,292964.75999999995,best_sellers,660,Top 10% performers - High demand items
22-36-86,AERYN,732439,KI00,AERYN - WOMEN'S LEATHER JACKETS IN CAMEL,CAMEL,660.NS,8883355527288,769.71,56,56.0,38.0,49.0,0.0,22.0,32.0,8.0,17.0,25.0,22.0,13.0,15.0,4.0,23.0,6.0,23.0,22.0,5,375,375,288641.25,best_sellers,660,Top 10% performers - High demand items
31-56-33,ALEKSIA,495148,FA26,ALEKSIA - WOMEN'S LEATHER JACKETS IN DARK TAUPE,DARK TAUPE,990.XS,3811745984897,686.53,100,100.0,89.0,11.0,3.0,33.0,32.0,6.0,14.0,25.0,7.0,20.0,18.0,12.0,23.0,10.0,7.0,6.0,0,416,416,285596.48,best_sellers,660,Top 10% performers - High demand items
46-86-38,ALEKSIA,836312,FA24,ALEKSIA - WOMEN'S LEATHER JACKETS IN TEAL,TEAL,730.L,2888073510632,794.96,64,64.0,44.0,3.0,25.0,43.0,34.0,12.0,10.0,10.0,17.0,19.0,6.0,2.0,23.0,21.0,8.0,18.0,3,359,359,285390.64,best_sellers,660,Top 10% performers - High demand items
92-70-72,ALEKSIA,292743,FA26,ALEKSIA - WOMEN'S LEATHER JACKETS IN TAUPE,TAUPE,918.NS,6643730197291,674.51,77,77.0,100.0,22.0,10.0,26.0,29.0,15.0,7.0,18.0,2.0,12.0,22.0,16.0,12.0,14.0,18.0,21.0,4,421,421,283968.71,best_sellers,660,Top 10% performers - High demand items
22-62-18,AERYN,981191,FA24,AERYN - WOMEN'S LEATHER JACKETS IN SAGE,SAGE,549.2XL,2040582766468,659.59,97,97.0,82.0,12.0,24.0,33.0,23.0,18.0,19.0,18.0,13.0,25.0,6.0,1.0,4.0,12.0,21.0,19.0,4,427,427,281644.93,best_sellers,660,Top 10% performers - High demand items
11-17-81,MONACO,576844,KI00,MONACO - WOMEN'S LEATHER JACKETS IN SKY BLUE,SKY BLUE,660.NS,4305694887872,721.2,73,73.0,61.0,21.0,30.0,49.0,17.0,0.0,21.0,12.0,2.0,7.0,7.0,12.0,24.0,5.0,22.0,21.0,0,384,384,276940.80000000005,best_sellers,660,Top 10% performers - High demand items
73-61-20,AERYN,611319,SP25,AERYN - WOMEN'S LEATHER JACKETS IN DUSK,DUSK,660.NS,2101221362733,779.06,42,42.0,32.0,4.0,26.0,49.0,45.0,16.0,4.0,15.0,10.0,18.0,11.0,15.0,11.0,23.0,23.0,10.0,2,354,354,275787.24,best_sellers,660,Top 10% performers - High demand items
70-68-38,AERYN,373724,FA25,AERYN - WOMEN'S LEATHER JACKETS IN BORDEAUX,BORDEAUX,549.S,9557906417763,769.26,52,52.0,51.0,37.0,6.0,26.0,43.0,13.0,20.0,11.0,16.0,11.0,23.0,2.0,13.0,22.0,4.0,5.0,5,355,355,273087.3,best_sellers,660,Top 10% performers - High demand items
56-60-11,ALEKSIA,585399,SP24,ALEKSIA - WOMEN'S LEATHER JACKETS IN DARK TAUPE,DARK TAUPE,730.L,5521810821116,726.9,71,71.0,45.0,46.0,15.0,48.0,16.0,22.0,5.0,24.0,10.0,8.0,7.0,11.0,4.0,18.0,0.0,25.0,5,375,375,272587.5,best_sellers,660,Top 10% performers - High demand items
55-43-95,MONACO,827010,SP25,MONACO - WOMEN'S LEATHER JACKETS IN SKY BLUE,SKY BLUE,990.S,3593720767009,685.62,86,86.0,78.0,4.0,40.0,20.0,36.0,0.0,15.0,24.0,17.0,22.0,1.0,9.0,4.0,19.0,8.0,13.0,3,396,396,271505.52,best_sellers,660,Top 10% performers - High demand items
24-74-53,ALYSON,675388,ALL SEASON,ALYSON - WOMEN'S LEATHER JACKETS IN DUSK,DUSK,730.XL,6449371984926,619.67,89,89.0,81.0,46.0,42.0,47.0,20.0,1.0,21.0,4.0,8.0,6.0,13.0,21.0,0.0,10.0,13.0,16.0,1,438,438,271415.45999999996,best_sellers,660,Top 10% performers - High demand items
65-31-73,ALYSON,623401,FA26,ALYSON - WOMEN'S LEATHER JACKETS IN OLIVE,OLIVE,990.2XL,1551537726754,795.77,76,76.0,9.0,4.0,34.0,40.0,30.0,10.0,17.0,10.0,18.0,11.0,6.0,18.0,6.0,19.0,20.0,9.0,0,337,337,268174.49,best_sellers,660,Top 10% performers - High demand items
20-63-52,AERYN,731049,KI00,AERYN - WOMEN'S LEATHER JACKETS IN LATTE,LATTE,549.L,9924518136125,619.33,95,95.0,66.0,24.0,32.0,9.0,47.0,13.0,7.0,20.0,21.0,3.0,8.0,18.0,22.0,20.0,17.0,9.0,5,431,431,266931.23000000004,best_sellers,660,Top 10% performers - High demand items
45-87-32,MONACO,263171,KI00,MONACO - WOMEN'S LEATHER JACKETS IN BLACK,BLACK,549.XL,3068388411561,759.3,44,44.0,54.0,15.0,36.0,28.0,12.0,19.0,20.0,10.0,17.0,17.0,13.0,16.0,0.0,13.0,11.0,23.0,4,348,348,264236.39999999997,best_sellers,660,Top 10% performers - High demand items
40-99-79,ALIE,273496,FA24,ALIE - WOMEN'S COATS IN SAGE,SAGE,990.2XL,8225683204843,595.96,90,90.0,98.0,50.0,19.0,10.0,19.0,22.0,12.0,15.0,4.0,19.0,4.0,4.0,8.0,22.0,19.0,19.0,4,434,434,258646.64,best_sellers,616,Top 10% performers - High demand items
73-72-85,ALEKSIA,438912,FA24,ALEKSIA - WOMEN'S LEATHER JACKETS IN OLIVE,OLIVE,549.2XS,1452889389554,563.25,73,73.0,97.0,5.0,5.0,46.0,40.0,21.0,14.0,21.0,13.0,21.0,20.0,22.0,6.0,23.0,17.0,15.0,2,459,459,258531.75,best_sellers,660,Top 10% performers - High demand items
19-16-29,MONACO,945737,FA26,MONACO - WOMEN'S LEATHER JACKETS IN TEAL,TEAL,990.L,1467928051495,711.77,30,30.0,5.0,43.0,30.0,46.0,43.0,5.0,9.0,20.0,14.0,22.0,7.0,14.0,17.0,9.0,22.0,25.0,5,361,361,256948.97,best_sellers,660,Top 10% performers - High demand items
23-26-20,ALEKSIA,413491,SP25,ALEKSIA - WOMEN'S LEATHER JACKETS IN SAGE,SAGE,730.NS,8448764779341,634.47,88,88.0,13.0,20.0,41.0,47.0,48.0,24.0,15.0,1.0,22.0,3.0,20.0,17.0,16.0,3.0,20.0,1.0,5,399,399,253153.53,best_sellers,660,Top 10% performers - High demand items
81-74-88,AERYN,468353,SP25,AERYN - WOMEN'S LEATHER JACKETS IN LATTE,LATTE,990.XS,3152285548149,644.99,80,80.0,72.0,38.0,6.0,1.0,47.0,4.0,22.0,20.0,0.0,3.0,16.0,21.0,18.0,18.0,21.0,5.0,4,392,392,252836.08000000002,best_sellers,660,Top 10% performers - High demand items
97-22-77,AERYN,155268,SP25,AERYN - WOMEN'S LEATHER JACKETS IN BRITISH TAN,BRITISH TAN,440NS,9600889147612,733.27,78,78.0,54.0,33.0,6.0,11.0,46.0,23.0,2.0,2.0,1.0,13.0,2.0,22.0,1.0,7.0,25.0,15.0,2,341,341,250045.07,best_sellers,660,Top 10% performers - High demand items
94-34-57,ALEKSIA,758341,FA25,ALEKSIA - WOMEN'S LEATHER JACKETS IN SAGE,SAGE,440NS,5926556806227,741.93,58,58.0,90.0,15.0,6.0,5.0,16.0,8.0,15.0,6.0,22.0,20.0,16.0,20.0,7.0,25.0,4.0,4.0,4,337,337,250030.40999999997,best_sellers,660,Top 10% performers - High demand items
82-67-71,BRETTA,387738,FA25,BRETTA - WOMEN'S COATS IN MINK,MINK,990.S,9376447911745,596.59,100,100.0,97.0,34.0,31.0,1.0,29.0,5.0,22.0,12.0,8.0,16.0,12.0,10.0,21.0,0.0,3.0,17.0,1,418,418,249374.62000000002,best_sellers,616,Top 10% performers - High demand items
33-35-38,MONACO,161177,FA25,MONACO - WOMEN'S LEATHER JACKETS IN BLACK,BLACK,440NS,4895830438016,676.63,46,46.0,87.0,17.0,36.0,0.0,34.0,17.0,0.0,17.0,10.0,12.0,24.0,23.0,10.0,2.0,10.0,21.0,5,366,366,247646.58,best_sellers,660,Top 10% performers - High demand items
19-44-96,BRETTA,657492,KI00,BRETTA - WOMEN'S COATS IN ELEMENTAL BLUE,ELEMENTAL BLUE,990.XS,4677375703732,598.49,97,97.0,85.0,22.0,17.0,38.0,23.0,4.0,4.0,12.0,16.0,0.0,15.0,25.0,18.0,9.0,14.0,14.0,4,413,413,247176.37,best_sellers,616,Top 10% performers - High demand items
54-61-15,ALYSON,734404,KI00,ALYSON - WOMEN'S LEATHER JACKETS IN TAUPE,TAUPE,990.S,2897326968769,568.79,45,45.0,40.0,48.0,47.0,44.0,34.0,20.0,18.0,18.0,17.0,16.0,7.0,8.0,10.0,23.0,24.0,13.0,0,432,432,245717.27999999997,best_sellers,660,Top 10% performers - High demand items
64-30-41,AERYN,389700,FA24,AERYN - WOMEN'S LEATHER JACKETS IN LATTE,LATTE,918.NS,1417866525485,680.51,33,33.0,99.0,21.0,22.0,13.0,20.0,18.0,10.0,3.0,15.0,24.0,10.0,16.0,20.0,9.0,20.0,8.0,4,361,361,245664.11,best_sellers,660,Top 10% performers - High demand items
74-72-28,ALEKSIA,131726,SP24,ALEKSIA - WOMEN'S LEATHER JACKETS IN BRITISH TAN,BRITISH TAN,730.XS,5800406174298,654.84,97,97.0,19.0,19.0,47.0,31.0,24.0,3.0,1.0,22.0,18.0,18.0,9.0,12.0,12.0,10.0,10.0,23.0,2,375,375,245565.0,best_sellers,660,Top 10% performers - High demand items
25-44-83,ALEKSIA,190391,ALL SEASON,ALEKSIA - WOMEN'S LEATHER JACKETS IN LATTE,LATTE,549.XL,1318248113105,656.52,31,31.0,97.0,18.0,31.0,19.0,40.0,19.0,5.0,0.0,15.0,14.0,23.0,11.0,23.0,6.0,5.0,17.0,0,374,374,245538.47999999998,best_sellers,660,Top 10% performers - High demand items
60-31-94,ALYSON,544371,SP25,ALYSON - WOMEN'S LEATHER JACKETS IN CAMEL,CAMEL,660.NS,1235836368088,683.35,26,26.0,72.0,18.0,32.0,39.0,24.0,22.0,19.0,20.0,25.0,3.0,6.0,18.0,16.0,12.0,7.0,0.0,4,359,359,245322.65,best_sellers,660,Top 10% performers - High demand items
23-74-50,MONACO,644787,SP24,MONACO - WOMEN'S LEATHER JACKETS IN LATTE,LATTE,549.XL,4921841201471,756.76,87,87.0,26.0,29.0,20.0,35.0,7.0,5.0,8.0,7.0,22.0,4.0,8.0,9.0,5.0,22.0,23.0,7.0,5,324,324,245190.24,best_sellers,660,Top 10% performers - High demand items
25-71-15,MONACO,593830,KI00,MONACO - WOMEN'S LEATHER JACKETS IN SAGE,SAGE,730.L,7542610232263,751.62,25,25.0,75.0,7.0,18.0,45.0,44.0,20.0,9.0,17.0,0.0,13.0,3.0,13.0,1.0,16.0,2.0,17.0,1,325,325,244276.5,best_sellers,660,Top 10% performers - High demand items
45-20-46,MONACO,427925,FA24,MONACO - WOMEN'S LEATHER JACKETS IN SAND,SAND,730.S,8993164571594,665.23,17,17.0,30.0,21.0,38.0,26.0,50.0,24.0,20.0,16.0,5.0,16.0,19.0,20.0,12.0,20.0,14.0,18.0,5,366,366,243474.18,best_sellers,660,Top 10% performers - High demand items
55-75-38,ALEKSIA,201635,FA26,ALEKSIA - WOMEN'S LEATHER JACKETS IN DARK NAVY,DARK NAVY,660.NS,3002819667718,791.01,28,28.0,34.0,6.0,15.0,28.0,39.0,13.0,18.0,2.0,9.0,19.0,14.0,22.0,20.0,14.0,5.0,21.0,5,307,307,242840.07,best_sellers,660,Top 10% performers - High demand items
72-16-75,ALEKSIA,643572,FA25,ALEKSIA - WOMEN'S LEATHER JACKETS IN DUSK,DUSK,990.S,8661300096670,785.3,16,16.0,43.0,32.0,12.0,30.0,33.0,4.0,11.0,7.0,16.0,12.0,11.0,23.0,15.0,0.0,21.0,22.0,4,308,308,241872.4,best_sellers,660,Top 10% performers - High demand items
41-83-87,ALYSON,969533,FA26,ALYSON - WOMEN'S LEATHER JACKETS IN OLIVE,OLIVE,549.2XL,2922138059658,793.45,21,21.0,82.0,7.0,7.0,32.0,4.0,3.0,17.0,20.0,25.0,11.0,14.0,1.0,15.0,6.0,19.0,20.0,0,304,304,241208.80000000002,best_sellers,660,Top 10% performers - High demand items
80-20-97,ALYSON,233659,SP25,ALYSON - WOMEN'S LEATHER JACKETS IN TEAL,TEAL,730.XS,9425973020325,601.13,64,64.0,36.0,34.0,3.0,47.0,23.0,24.0,4.0,17.0,15.0,13.0,22.0,19.0,15.0,25.0,19.0,21.0,2,401,401,241053.13,best_sellers,660,Top 10% performers - High demand items
46-38-26,MONACO,174784,FA24,MONACO - WOMEN'S LEATHER JACKETS IN RADIANT RED,RADIANT RED,730.XL,9175336915923,712.68,11,11.0,15.0,29.0,40.0,34.0,35.0,17.0,15.0,16.0,6.0,8.0,22.0,23.0,20.0,25.0,7.0,15.0,5,338,338,240885.84,best_sellers,660,Top 10% performers - High demand items
17-54-53,ALEKSIA,438882,ALL SEASON,ALEKSIA - WOMEN'S LEATHER JACKETS IN BRITISH TAN,BRITISH TAN,730.M,1115866639687,653.64,14,14.0,79.0,37.0,39.0,4.0,42.0,20.0,16.0,15.0,9.0,18.0,20.0,6.0,15.0,16.0,12.0,6.0,0,368,368,240539.52,best_sellers,660,Top 10% performers - High demand items
65-24-49,ALEKSIA,349674,KI00,ALEKSIA - WOMEN'S LEATHER JACKETS IN TAUPE,TAUPE,549.S,7679614556910,552.12,66,66.0,85.0,20.0,47.0,17.0,42.0,24.0,23.0,13.0,9.0,6.0,7.0,21.0,22.0,15.0,18.0,0.0,1,435,435,240172.2,best_sellers,660,Top 10% performers - High demand items
85-95-92,AERYN,680937,SP24,AERYN - WOMEN'S LEATHER JACKETS IN BRITISH TAN,BRITISH TAN,730.2XS,7610491417457,764.99,6,6.0,89.0,18.0,37.0,37.0,4.0,11.0,20.0,10.0,21.0,6.0,17.0,8.0,22.0,4.0,2.0,1.0,5,313,313,239441.87,best_sellers,660,Top 10% performers - High demand items
65-97-29,BRENNA,781180,ALL SEASON,BRENNA - WOMEN'S COATS IN LIGHT GREY,LIGHT GREY,730.2XS,7145539646936,571.02,73,73.0,87.0,47.0,48.0,0.0,17.0,23.0,7.0,11.0,16.0,21.0,1.0,10.0,24.0,5.0,17.0,11.0,3,418,418,238686.36,best_sellers,616,Top 10% performers - High demand items
61-98-81,ALIE,951391,FA24,ALIE - WOMEN'S COATS IN RED,RED,730.XS,1809390456777,586.36,59,59.0,41.0,34.0,36.0,49.0,46.0,22.0,3.0,20.0,4.0,11.0,20.0,6.0,24.0,18.0,8.0,6.0,3,407,407,238648.52000000002,best_sellers,616,Top 10% performers - High demand items
47-58-78,MONACO,256675,SP24,MONACO - WOMEN'S LEATHER JACKETS IN BRITISH TAN,BRITISH TAN,990.NS,9321780573056,776.2,54,54.0,31.0,20.0,17.0,14.0,32.0,22.0,14.0,13.0,2.0,23.0,25.0,2.0,1.0,18.0,0.0,17.0,5,305,305,236741.0,best_sellers,660,Top 10% performers - High demand items
34-64-54,ALYSON,136028,SP25,ALYSON - WOMEN'S LEATHER JACKETS IN EGGPLANT,EGGPLANT,730.2XS,6055921967273,622.08,85,85.0,39.0,16.0,29.0,41.0,12.0,0.0,7.0,19.0,24.0,23.0,5.0,19.0,17.0,12.0,11.0,20.0,5,379,379,235768.32,best_sellers,660,Top 10% performers - High demand items
54-77-31,MONACO,848245,SP24,MONACO - WOMEN'S LEATHER JACKETS IN BRITISH TAN,BRITISH TAN,440NS,8699609053027,636.61,75,75.0,40.0,37.0,3.0,7.0,46.0,16.0,18.0,12.0,25.0,6.0,13.0,4.0,17.0,8.0,25.0,18.0,0,370,370,235545.7,best_sellers,660,Top 10% performers - High demand items
61-92-48,MONACO,269273,FA25,MONACO - WOMEN'S LEATHER JACKETS IN LATTE,LATTE,730.M,1438750501157,598.25,56,56.0,89.0,8.0,37.0,21.0,41.0,7.0,7.0,4.0,13.0,20.0,24.0,3.0,12.0,21.0,21.0,9.0,1,393,393,235112.25,best_sellers,660,Top 10% performers - High demand items
82-72-72,AGGIE,335670,SP25,AGGIE - WOMEN'S COATS IN EGGPLANT,EGGPLANT,990.2XL,2733634358762,585.5,92,92.0,62.0,50.0,23.0,44.0,14.0,8.0,14.0,1.0,2.0,11.0,17.0,4.0,17.0,13.0,13.0,15.0,0,400,400,234200.0,best_sellers,616,Top 10% performers - High demand items
35-52-83,ALIE,309305,SP25,ALIE - WOMEN'S COATS IN MINK,MINK,620.NS,6985690193919,589.97,88,88.0,70.0,10.0,25.0,17.0,38.0,18.0,10.0,19.0,19.0,11.0,19.0,14.0,9.0,10.0,6.0,13.0,1,396,396,233628.12000000002,best_sellers,616,Top 10% performers - High demand items
35-72-81,AERYN,955213,SP25,AERYN - WOMEN'S LEATHER JACKETS IN MINK,MINK,990.M,7318895921695,599.03,29,29.0,71.0,30.0,24.0,19.0,44.0,19.0,15.0,5.0,25.0,13.0,20.0,16.0,7.0,11.0,17.0,25.0,5,390,390,233621.69999999998,best_sellers,660,Top 10% performers - High demand items
41-88-47,MONACO,923197,FA26,MONACO - WOMEN'S LEATHER JACKETS IN LATTE,LATTE,730.M,9291071718627,783.94,87,87.0,0.0,24.0,7.0,3.0,19.0,21.0,14.0,14.0,21.0,12.0,10.0,6.0,4.0,21.0,21.0,14.0,3,298,298,233614.12000000002,best_sellers,660,Top 10% performers - High demand items
58-50-79,ALEKSIA,703407,KI00,ALEKSIA - WOMEN'S LEATHER JACKETS IN SAND,SAND,730.XS,9915649522808,606.97,87,87.0,61.0,11.0,47.0,3.0,6.0,7.0,11.0,12.0,20.0,19.0,8.0,18.0,25.0,17.0,16.0,16.0,1,384,384,233076.48,best_sellers,660,Top 10% performers - High demand items
48-90-33,AZARIA,180486,SP25,AZARIA - WOMEN'S COATS IN CHESTNUT,CHESTNUT,730.NS,1830180098471,589.43,63,63.0,96.0,15.0,1.0,3.0,25.0,25.0,11.0,21.0,24.0,22.0,4.0,22.0,18.0,22.0,13.0,10.0,0,395,395,232824.84999999998,best_sellers,616,Top 10% performers - High demand items
98-60-69,ANNIKA,286772,FA25,ANNIKA - WOMEN'S COATS IN BLACK,BLACK,990.XL,5019617889238,596.04,71,71.0,97.0,26.0,15.0,44.0,11.0,9.0,9.0,6.0,22.0,15.0,19.0,6.0,3.0,15.0,10.0,12.0,0,390,390,232455.59999999998,best_sellers,616,Top 10% performers - High demand items
73-79-20,ALEKSIA,937057,FA24,ALEKSIA - WOMEN'S LEATHER JACKETS IN BORDEAUX,BORDEAUX,440NS,6804557874745,715.12,49,49.0,11.0,42.0,37.0,10.0,18.0,7.0,0.0,23.0,21.0,22.0,15.0,4.0,22.0,20.0,10.0,13.0,0,324,324,231698.88,best_sellers,660,Top 10% performers - High demand items
17-50-65,MONACO,341618,KI00,MONACO - WOMEN'S LEATHER JACKETS IN DARK NAVY,DARK NAVY,730.NS,3334325486123,759.98,4,4.0,57.0,17.0,29.0,23.0,19.0,4.0,16.0,10.0,5.0,8.0,18.0,14.0,23.0,17.0,18.0,22.0,0,304,304,231033.92,best_sellers,660,Top 10% performers - High demand items
37-19-27,ALEKSIA,868771,FA25,ALEKSIA - WOMEN'S LEATHER JACKETS IN RADIANT RED,RADIANT RED,990.NS,4374202298324,637.79,90,90.0,20.0,13.0,43.0,2.0,36.0,14.0,24.0,7.0,19.0,17.0,17.0,12.0,11.0,1.0,15.0,20.0,4,361,361,230242.18999999997,best_sellers,660,Top 10% performers - High demand items
20-62-37,ANNIKA,594936,FA26,ANNIKA - WOMEN'S COATS IN CARAMEL,CARAMEL,660.NS,3014524471805,597.25,85,85.0,43.0,7.0,48.0,13.0,25.0,4.0,14.0,17.0,2.0,24.0,13.0,19.0,23.0,14.0,14.0,20.0,2,385,385,229941.25,best_sellers,616,Top 10% performers - High demand items
72-29-19,ALYSON,147088,ALL SEASON,ALYSON - WOMEN'S LEATHER JACKETS IN EGGPLANT,EGGPLANT,730.S,4121443741354,714.17,62,62.0,0.0,30.0,20.0,35.0,29.0,17.0,17.0,17.0,23.0,2.0,15.0,13.0,18.0,5.0,12.0,6.0,3,321,321,229248.56999999998,best_sellers,660,Top 10% performers - High demand items
42-13-95,ALYSON,198151,SP24,ALYSON - WOMEN'S LEATHER JACKETS IN CARAMEL,CARAMEL,549.XL,8861220749601,726.86,66,66.0,77.0,33.0,17.0,0.0,8.0,12.0,11.0,2.0,22.0,0.0,3.0,16.0,20.0,12.0,7.0,9.0,4,315,315,228960.9,best_sellers,660,Top 10% performers - High demand items
84-90-56,AERYN,660492,FA25,AERYN - WOMEN'S LEATHER JACKETS IN TEAL,TEAL,990.XS,6791186872608,775.84,74,74.0,38.0,33.0,1.0,13.0,6.0,18.0,7.0,18.0,16.0,5.0,12.0,17.0,6.0,4.0,6.0,20.0,5,294,294,228096.96000000002,best_sellers,660,Top 10% performers - High demand items
24-11-47,MONACO,428874,SP25,MONACO - WOMEN'S LEATHER JACKETS IN BLACK,BLACK,990.XS,2686946114186,763.78,41,41.0,25.0,44.0,4.0,19.0,13.0,7.0,14.0,22.0,8.0,20.0,9.0,16.0,12.0,12.0,11.0,21.0,4,298,298,227606.44,best_sellers,660,Top 10% performers - High demand items
90-26-93,AERYN,471008,FA24,AERYN - WOMEN'S LEATHER JACKETS IN SAGE,SAGE,990.S,3125654900852,612.99,33,33.0,80.0,48.0,33.0,0.0,45.0,1.0,6.0,14.0,17.0,18.0,10.0,8.0,16.0,19.0,18.0,5.0,1,371,371,227419.29,best_sellers,660,Top 10% performers - High demand items
65-76-58,ALEKSIA,410824,SP25,ALEKSIA - WOMEN'S LEATHER JACKETS IN RED,RED,730.S,3837560237145,680.43,67,67.0,9.0,35.0,41.0,17.0,26.0,8.0,6.0,16.0,7.0,22.0,2.0,11.0,20.0,25.0,4.0,18.0,4,334,334,227263.62,best_sellers,660,Top 10% performers - High demand items
26-67-48,ALYSON,301169,KI00,ALYSON - WOMEN'S LEATHER JACKETS IN DARK TAUPE,DARK TAUPE,730.XS,4364010734936,783.22,30,30.0,4.0,37.0,12.0,16.0,45.0,7.0,10.0,2.0,17.0,8.0,14.0,17.0,11.0,18.0,24.0,18.0,1,290,290,227133.80000000002,best_sellers,660,Top 10% performers - High demand items
15-64-91,AERYN,651618,FA25,AERYN - WOMEN'S LEATHER JACKETS IN BLACK,BLACK,990.XS,7438695458777,595.27,37,37.0,98.0,34.0,35.0,12.0,33.0,9.0,16.0,3.0,7.0,10.0,9.0,19.0,14.0,18.0,4.0,23.0,5,381,381,226797.87,best_sellers,660,Top 10% performers - High demand items
